ID,Date,y,Hour,Temperature(�C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(�C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,timestamp
0,1/12/2017,254,0,-5.2,37,2.2,2000,-17.6,0,0,0,Winter,No Holiday,Yes,12/1/2017
1,1/12/2017,204,1,-5.5,38,0.8,2000,-17.6,0,0,0,Winter,No Holiday,Yes,12/1/2017
2,1/12/2017,173,2,-6,39,1,2000,-17.7,0,0,0,Winter,No Holiday,Yes,12/1/2017
3,1/12/2017,107,3,-6.2,40,0.9,2000,-17.6,0,0,0,Winter,No Holiday,Yes,12/1/2017
4,1/12/2017,78,4,-6,36,2.3,2000,-18.6,0,0,0,Winter,No Holiday,Yes,12/1/2017
5,1/12/2017,100,5,-6.4,37,1.5,2000,-18.7,0,0,0,Winter,No Holiday,Yes,12/1/2017
6,1/12/2017,181,6,-6.6,35,1.3,2000,-19.5,0,0,0,Winter,No Holiday,Yes,12/1/2017
7,1/12/2017,460,7,-7.4,38,0.9,2000,-19.3,0,0,0,Winter,No Holiday,Yes,12/1/2017
8,1/12/2017,930,8,-7.6,37,1.1,2000,-19.8,0.01,0,0,Winter,No Holiday,Yes,12/1/2017
9,1/12/2017,490,9,-6.5,27,0.5,1928,-22.4,0.23,0,0,Winter,No Holiday,Yes,12/1/2017
10,1/12/2017,339,10,-3.5,24,1.2,1996,-21.2,0.65,0,0,Winter,No Holiday,Yes,12/1/2017
11,1/12/2017,360,11,-0.5,21,1.3,1936,-20.2,0.94,0,0,Winter,No Holiday,Yes,12/1/2017
12,1/12/2017,449,12,1.7,23,1.4,2000,-17.2,1.11,0,0,Winter,No Holiday,Yes,12/1/2017
13,1/12/2017,451,13,2.4,25,1.6,2000,-15.6,1.16,0,0,Winter,No Holiday,Yes,12/1/2017
14,1/12/2017,447,14,3,26,2,2000,-14.6,1.01,0,0,Winter,No Holiday,Yes,12/1/2017
15,1/12/2017,463,15,2.1,36,3.2,2000,-11.4,0.54,0,0,Winter,No Holiday,Yes,12/1/2017
16,1/12/2017,484,16,1.2,54,4.2,793,-7,0.24,0,0,Winter,No Holiday,Yes,12/1/2017
17,1/12/2017,555,17,0.8,58,1.6,2000,-6.5,0.08,0,0,Winter,No Holiday,Yes,12/1/2017
18,1/12/2017,862,18,0.6,66,1.4,2000,-5,0,0,0,Winter,No Holiday,Yes,12/1/2017
19,1/12/2017,600,19,0,77,1.7,2000,-3.5,0,0,0,Winter,No Holiday,Yes,12/1/2017
20,1/12/2017,426,20,-0.3,79,1.5,1913,-3.5,0,0,0,Winter,No Holiday,Yes,12/1/2017
21,1/12/2017,405,21,-0.8,81,0.8,1687,-3.6,0,0,0,Winter,No Holiday,Yes,12/1/2017
22,1/12/2017,398,22,-0.9,83,1.5,1380,-3.4,0,0,0,Winter,No Holiday,Yes,12/1/2017
23,1/12/2017,323,23,-1.3,84,1,1265,-3.6,0,0,0,Winter,No Holiday,Yes,12/1/2017
24,2/12/2017,328,0,-1.8,87,1.1,994,-3.6,0,0,0,Winter,No Holiday,Yes,12/2/2017
25,2/12/2017,308,1,-2.2,86,0.6,990,-4.2,0,0,0,Winter,No Holiday,Yes,12/2/2017
26,2/12/2017,262,2,-2.9,86,1.5,1256,-4.9,0,0,0,Winter,No Holiday,Yes,12/2/2017
27,2/12/2017,167,3,-3.5,81,2.2,1221,-6.2,0,0,0,Winter,No Holiday,Yes,12/2/2017
28,2/12/2017,89,4,-3.8,79,2,1167,-6.9,0,0,0,Winter,No Holiday,Yes,12/2/2017
29,2/12/2017,79,5,-4,79,1.5,1202,-7.1,0,0,0,Winter,No Holiday,Yes,12/2/2017
30,2/12/2017,70,6,-4.3,82,2.1,1178,-6.9,0,0,0,Winter,No Holiday,Yes,12/2/2017
31,2/12/2017,146,7,-4.4,81,2.5,1276,-7.1,0,0,0,Winter,No Holiday,Yes,12/2/2017
32,2/12/2017,219,8,-4.2,79,2.1,1436,-7.3,0.01,0,0,Winter,No Holiday,Yes,12/2/2017
33,2/12/2017,328,9,-2.9,68,1.6,1487,-7.9,0.3,0,0,Winter,No Holiday,Yes,12/2/2017
34,2/12/2017,334,10,-0.4,57,1.6,1309,-7.8,0.8,0,0,Winter,No Holiday,Yes,12/2/2017
35,2/12/2017,388,11,1.9,49,1.8,1406,-7.7,1,0,0,Winter,No Holiday,Yes,12/2/2017
36,2/12/2017,479,12,4.3,41,1.3,1666,-7.8,1.09,0,0,Winter,No Holiday,Yes,12/2/2017
37,2/12/2017,606,13,6,36,1.8,1780,-7.9,1.12,0,0,Winter,No Holiday,Yes,12/2/2017
38,2/12/2017,611,14,7.3,35,1.3,1955,-7.1,0.99,0,0,Winter,No Holiday,Yes,12/2/2017
39,2/12/2017,589,15,7.6,41,2.3,1953,-4.8,0.74,0,0,Winter,No Holiday,Yes,12/2/2017
40,2/12/2017,618,16,6.4,48,2.6,1945,-3.8,0.22,0,0,Winter,No Holiday,Yes,12/2/2017
41,2/12/2017,572,17,6,51,2.5,1891,-3.3,0.06,0,0,Winter,No Holiday,Yes,12/2/2017
42,2/12/2017,489,18,5.5,53,1.5,1697,-3.3,0,0,0,Winter,No Holiday,Yes,12/2/2017
43,2/12/2017,385,19,5,52,2.3,1666,-4,0,0,0,Winter,No Holiday,Yes,12/2/2017
44,2/12/2017,359,20,4.6,51,1.2,1585,-4.6,0,0,0,Winter,No Holiday,Yes,12/2/2017
45,2/12/2017,377,21,4.1,55,1.2,1448,-4.1,0,0,0,Winter,No Holiday,Yes,12/2/2017
46,2/12/2017,354,22,3.5,54,1.5,1446,-4.9,0,0,0,Winter,No Holiday,Yes,12/2/2017
47,2/12/2017,366,23,4,56,1,1352,-4,0,0,0,Winter,No Holiday,Yes,12/2/2017
48,3/12/2017,342,0,4,58,1.4,1296,-3.5,0,0,0,Winter,No Holiday,Yes,12/3/2017
49,3/12/2017,227,1,3.9,69,1.7,485,-1.2,0,0,0,Winter,No Holiday,Yes,12/3/2017
50,3/12/2017,228,2,3.3,79,1.4,830,0,0,0,0,Winter,No Holiday,Yes,12/3/2017
51,3/12/2017,117,3,3.4,71,1.6,1011,-1.3,0,0.5,0,Winter,No Holiday,Yes,12/3/2017
52,3/12/2017,76,4,3.5,73,1,1060,-0.8,0,0,0,Winter,No Holiday,Yes,12/3/2017
53,3/12/2017,32,5,3.9,75,1.9,914,-0.1,0,0,0,Winter,No Holiday,Yes,12/3/2017
54,3/12/2017,13,6,3.4,86,2.5,278,1.2,0,1,0,Winter,No Holiday,Yes,12/3/2017
55,3/12/2017,22,7,3.1,91,1.2,129,1.7,0,0,0,Winter,No Holiday,Yes,12/3/2017
56,3/12/2017,85,8,3.2,92,1.8,244,2,0,0,0,Winter,No Holiday,Yes,12/3/2017
57,3/12/2017,152,9,3.5,91,1.8,231,2.1,0.02,2.5,0,Winter,No Holiday,Yes,12/3/2017
58,3/12/2017,200,10,4.4,89,2.2,257,2.7,0.24,0,0,Winter,No Holiday,Yes,12/3/2017
59,3/12/2017,273,11,5.1,87,1.4,321,3.1,0.25,0,0,Winter,No Holiday,Yes,12/3/2017
60,3/12/2017,333,12,5.8,85,1.7,349,3.4,0.43,0,0,Winter,No Holiday,Yes,12/3/2017
61,3/12/2017,495,13,6.8,81,1.9,390,3.7,0.6,0,0,Winter,No Holiday,Yes,12/3/2017
62,3/12/2017,563,14,7.6,76,1.2,422,3.6,0.69,0,0,Winter,No Holiday,Yes,12/3/2017
63,3/12/2017,621,15,8,73,1.6,433,3.4,0.53,0,0,Winter,No Holiday,Yes,12/3/2017
64,3/12/2017,598,16,7.6,77,1.6,399,3.8,0.2,0,0,Winter,No Holiday,Yes,12/3/2017
65,3/12/2017,545,17,6.7,82,1.5,358,3.8,0.05,0,0,Winter,No Holiday,Yes,12/3/2017
66,3/12/2017,443,18,6,84,1.9,327,3.4,0,0,0,Winter,No Holiday,Yes,12/3/2017
67,3/12/2017,422,19,5.7,85,1.7,309,3.3,0,0,0,Winter,No Holiday,Yes,12/3/2017
68,3/12/2017,397,20,5.2,87,1.4,253,3.2,0,0,0,Winter,No Holiday,Yes,12/3/2017
69,3/12/2017,385,21,4.7,87,1.2,247,2.7,0,0,0,Winter,No Holiday,Yes,12/3/2017
70,3/12/2017,350,22,4.3,89,1.8,201,2.6,0,0,0,Winter,No Holiday,Yes,12/3/2017
71,3/12/2017,303,23,3.9,90,1.3,194,2.4,0,0,0,Winter,No Holiday,Yes,12/3/2017
72,4/12/2017,285,0,4.2,88,0.6,216,2.3,0,0,0,Winter,No Holiday,Yes,12/4/2017
73,4/12/2017,186,1,4.3,87,0.5,221,2.3,0,0,0,Winter,No Holiday,Yes,12/4/2017
74,4/12/2017,112,2,4.4,87,1.8,207,2.4,0,0,0,Winter,No Holiday,Yes,12/4/2017
75,4/12/2017,65,3,3.6,85,2.3,206,1.3,0,0,0,Winter,No Holiday,Yes,12/4/2017
76,4/12/2017,41,4,2.8,89,1.5,130,1.1,0,0,0,Winter,No Holiday,Yes,12/4/2017
77,4/12/2017,82,5,2,83,2.7,253,-0.5,0,0,0,Winter,No Holiday,Yes,12/4/2017
78,4/12/2017,200,6,1.2,76,3.7,371,-2.5,0,0.1,0,Winter,No Holiday,Yes,12/4/2017
79,4/12/2017,498,7,0.2,68,3.4,702,-5,0,0,0,Winter,No Holiday,Yes,12/4/2017
80,4/12/2017,937,8,-0.8,69,3.5,954,-5.7,0.01,0,0,Winter,No Holiday,Yes,12/4/2017
81,4/12/2017,509,9,-1.5,47,4.2,1888,-11.3,0.22,0,0,Winter,No Holiday,Yes,12/4/2017
82,4/12/2017,311,10,-1.1,40,4.5,2000,-13,0.64,0,0,Winter,No Holiday,Yes,12/4/2017
83,4/12/2017,379,11,-0.5,41,4.1,1799,-12.1,0.94,0,0,Winter,No Holiday,Yes,12/4/2017
84,4/12/2017,393,12,-0.3,38,4.8,1823,-12.9,1.11,0,0,Winter,No Holiday,Yes,12/4/2017
85,4/12/2017,391,13,0,30,5.4,1938,-15.5,1.17,0,0,Winter,No Holiday,Yes,12/4/2017
86,4/12/2017,338,14,0.1,27,4.5,2000,-16.7,1.09,0,0,Winter,No Holiday,Yes,12/4/2017
87,4/12/2017,341,15,-0.1,25,5.8,2000,-17.8,0.88,0,0,Winter,No Holiday,Yes,12/4/2017
88,4/12/2017,375,16,-0.2,23,4.7,2000,-18.8,0.55,0,0,Winter,No Holiday,Yes,12/4/2017
89,4/12/2017,515,17,-1.3,26,5.3,2000,-18.3,0.18,0,0,Winter,No Holiday,Yes,12/4/2017
90,4/12/2017,807,18,-2.1,29,3.9,2000,-17.7,0,0,0,Winter,No Holiday,Yes,12/4/2017
91,4/12/2017,568,19,-2.9,32,3.2,2000,-17.3,0,0,0,Winter,No Holiday,Yes,12/4/2017
92,4/12/2017,398,20,-3.6,38,3,2000,-15.8,0,0,0,Winter,No Holiday,Yes,12/4/2017
93,4/12/2017,397,21,-4.6,43,4.5,2000,-15.3,0,0,0,Winter,No Holiday,Yes,12/4/2017
94,4/12/2017,353,22,-5.3,45,2.5,2000,-15.3,0,0,0,Winter,No Holiday,Yes,12/4/2017
95,4/12/2017,248,23,-5.8,44,2.4,2000,-16.1,0,0,0,Winter,No Holiday,Yes,12/4/2017
96,5/12/2017,216,0,-6.1,42,2.6,2000,-16.9,0,0,0,Winter,No Holiday,Yes,12/5/2017
97,5/12/2017,198,1,-6.5,41,2.8,2000,-17.6,0,0,0,Winter,No Holiday,Yes,12/5/2017
98,5/12/2017,124,2,-6.8,41,2.5,2000,-17.8,0,0,0,Winter,No Holiday,Yes,12/5/2017
99,5/12/2017,62,3,-6.9,39,2,2000,-18.5,0,0,0,Winter,No Holiday,Yes,12/5/2017
100,5/12/2017,42,4,-7.2,34,3,2000,-20.4,0,0,0,Winter,No Holiday,Yes,12/5/2017
101,5/12/2017,82,5,-7.4,33,2.6,2000,-20.9,0,0,0,Winter,No Holiday,Yes,12/5/2017
102,5/12/2017,172,6,-7.4,34,3.2,2000,-20.6,0,0,0,Winter,No Holiday,Yes,12/5/2017
103,5/12/2017,381,7,-7.5,33,2.2,2000,-21,0,0,0,Winter,No Holiday,Yes,12/5/2017
104,5/12/2017,812,8,-8.1,36,1.6,2000,-20.5,0.01,0,0,Winter,No Holiday,Yes,12/5/2017
105,5/12/2017,462,9,-7.6,31,1.3,1974,-21.8,0.21,0,0,Winter,No Holiday,Yes,12/5/2017
106,5/12/2017,269,10,-5.5,26,2.8,1967,-22,0.64,0,0,Winter,No Holiday,Yes,12/5/2017
107,5/12/2017,334,11,-3.9,25,0,1959,-21,0,0,0,Winter,No Holiday,Yes,12/5/2017
108,5/12/2017,321,12,-2.3,25,0,1962,-19.7,0,0,0,Winter,No Holiday,Yes,12/5/2017
109,5/12/2017,325,13,-1.6,27,0,1955,-18.2,0,0,0,Winter,No Holiday,Yes,12/5/2017
110,5/12/2017,334,14,-1.1,28,0,2000,-17.3,0,0,0,Winter,No Holiday,Yes,12/5/2017
111,5/12/2017,353,15,-0.7,28,0,2000,-16.9,0,0,0,Winter,No Holiday,Yes,12/5/2017
112,5/12/2017,435,16,-0.5,30,0,2000,-16,0,0,0,Winter,No Holiday,Yes,12/5/2017
113,5/12/2017,529,17,-1.6,35,0,2000,-15.1,0,0,0,Winter,No Holiday,Yes,12/5/2017
114,5/12/2017,789,18,-2.6,40,0,2000,-14.4,0,0,0,Winter,No Holiday,Yes,12/5/2017
115,5/12/2017,597,19,-3.2,45,0,2000,-13.5,0,0,0,Winter,No Holiday,Yes,12/5/2017
116,5/12/2017,418,20,-3.5,46,0,2000,-13.4,0,0,0,Winter,No Holiday,Yes,12/5/2017
117,5/12/2017,415,21,-3.7,47,0,2000,-13.3,0,0,0,Winter,No Holiday,Yes,12/5/2017
118,5/12/2017,393,22,-2.8,49,0,2000,-12,0,0,0,Winter,No Holiday,Yes,12/5/2017
119,5/12/2017,244,23,-2.5,59,0,1210,-9.4,0,0,0,Winter,No Holiday,Yes,12/5/2017
120,6/12/2017,145,0,-2.8,77,0,331,-6.2,0,0.1,0.1,Winter,No Holiday,Yes,12/6/2017
121,6/12/2017,144,1,-3,79,0,293,-6.1,0,0,0.3,Winter,No Holiday,Yes,12/6/2017
122,6/12/2017,117,2,-3,79,0,1862,-6.1,0,0,0.4,Winter,No Holiday,Yes,12/6/2017
123,6/12/2017,78,3,-3.2,78,0,1808,-6.4,0,0.2,0.4,Winter,No Holiday,Yes,12/6/2017
124,6/12/2017,58,4,-3.4,75,0,1982,-7.2,0,0,0.4,Winter,No Holiday,Yes,12/6/2017
125,6/12/2017,87,5,-3.6,76,0,1934,-7.2,0,0,0.4,Winter,No Holiday,Yes,12/6/2017
126,6/12/2017,142,6,-3.7,76,0,1864,-7.3,0,0,0.4,Winter,No Holiday,Yes,12/6/2017
127,6/12/2017,379,7,-4.2,77,0,1741,-7.6,0,0,0.3,Winter,No Holiday,Yes,12/6/2017
128,6/12/2017,802,8,-4.2,78,0,1518,-7.4,0.01,0,0.2,Winter,No Holiday,Yes,12/6/2017
129,6/12/2017,440,9,-3.3,70,0,1324,-7.9,0.25,0,0.2,Winter,No Holiday,Yes,12/6/2017
130,6/12/2017,307,10,-0.9,64,0,1224,-6.8,0.63,0,0.2,Winter,No Holiday,Yes,12/6/2017
131,6/12/2017,381,11,1.6,57,1.2,1261,-6,0.93,0,0,Winter,No Holiday,Yes,12/6/2017
132,6/12/2017,405,12,2.4,52,0.9,1224,-6.4,1.08,0,0,Winter,No Holiday,Yes,12/6/2017
133,6/12/2017,442,13,4.2,47,1.1,1469,-6.1,1.1,0,0,Winter,No Holiday,Yes,12/6/2017
134,6/12/2017,416,14,5.5,34,1,1966,-9.1,0.96,0,0,Winter,No Holiday,Yes,12/6/2017
135,6/12/2017,412,15,5.5,31,3.1,1968,-10.3,0.72,0,0,Winter,No Holiday,Yes,12/6/2017
136,6/12/2017,496,16,5.3,37,2.9,2000,-8.2,0.36,0,0,Winter,No Holiday,Yes,12/6/2017
137,6/12/2017,239,17,4.1,60,2.5,1565,-2.9,0.1,0,0,Winter,No Holiday,Yes,12/6/2017
138,6/12/2017,204,18,1.7,90,1,66,0.2,0,0.3,0.3,Winter,No Holiday,Yes,12/6/2017
139,6/12/2017,205,19,1.2,92,0.7,180,0,0,0,1,Winter,No Holiday,Yes,12/6/2017
140,6/12/2017,190,20,1.2,94,0.6,228,0.3,0,0,1,Winter,No Holiday,Yes,12/6/2017
141,6/12/2017,165,21,1.1,92,0.5,235,0,0,0.7,1,Winter,No Holiday,Yes,12/6/2017
142,6/12/2017,222,22,1.3,92,0.6,233,0.1,0,0,1,Winter,No Holiday,Yes,12/6/2017
143,6/12/2017,193,23,1.3,92,0.6,209,0.1,0,0,1,Winter,No Holiday,Yes,12/6/2017
144,7/12/2017,198,0,1.4,92,0.5,240,0.2,0,0,0.9,Winter,No Holiday,Yes,12/7/2017
145,7/12/2017,218,1,1.5,92,0.4,227,0.3,0,0,0.9,Winter,No Holiday,Yes,12/7/2017
146,7/12/2017,149,2,1.4,92,0.7,168,0.2,0,0,0.9,Winter,No Holiday,Yes,12/7/2017
147,7/12/2017,102,3,1.9,91,1.4,218,0.5,0,0,0.9,Winter,No Holiday,Yes,12/7/2017
148,7/12/2017,62,4,1.6,92,0.7,119,0.4,0,0,0.9,Winter,No Holiday,Yes,12/7/2017
149,7/12/2017,83,5,1.5,92,1.1,175,0.3,0,0,0.9,Winter,No Holiday,Yes,12/7/2017
150,7/12/2017,137,6,1,93,0.5,148,0,0,0,0.9,Winter,No Holiday,Yes,12/7/2017
151,7/12/2017,367,7,0.3,93,0.5,173,-0.7,0,0,0.9,Winter,No Holiday,Yes,12/7/2017
152,7/12/2017,754,8,-0.2,96,0.8,173,-0.7,0.01,0,0.8,Winter,No Holiday,Yes,12/7/2017
153,7/12/2017,415,9,0.1,91,0.8,265,-1.1,0.14,0,0.8,Winter,No Holiday,Yes,12/7/2017
154,7/12/2017,321,10,1.1,83,0.7,311,-1.4,0.41,0,0.7,Winter,No Holiday,Yes,12/7/2017
155,7/12/2017,333,11,2.3,69,1.7,628,-2.8,0.63,0,0.6,Winter,No Holiday,Yes,12/7/2017
156,7/12/2017,431,12,3.7,65,2.4,833,-2.2,0.98,0,0.3,Winter,No Holiday,Yes,12/7/2017
157,7/12/2017,394,13,4.1,37,3.1,1767,-9.3,1.14,0,0,Winter,No Holiday,Yes,12/7/2017
158,7/12/2017,390,14,4.4,36,2.7,1975,-9.4,1.04,0,0,Winter,No Holiday,Yes,12/7/2017
159,7/12/2017,430,15,4,35,3.1,1962,-10.1,0.84,0,0,Winter,No Holiday,Yes,12/7/2017
160,7/12/2017,471,16,3.2,38,2.9,1817,-9.7,0.51,0,0,Winter,No Holiday,Yes,12/7/2017
161,7/12/2017,552,17,2.1,50,2,1434,-7.2,0.15,0,0,Winter,No Holiday,Yes,12/7/2017
162,7/12/2017,795,18,0.7,46,2.7,1558,-9.6,0,0,0,Winter,No Holiday,Yes,12/7/2017
163,7/12/2017,507,19,-0.4,47,2.5,1269,-10.3,0,0,0,Winter,No Holiday,Yes,12/7/2017
164,7/12/2017,390,20,-1.4,47,2.5,1620,-11.2,0,0,0,Winter,No Holiday,Yes,12/7/2017
165,7/12/2017,402,21,-2.2,46,2.2,1975,-12.2,0,0,0,Winter,No Holiday,Yes,12/7/2017
166,7/12/2017,389,22,-2.7,48,2.6,1844,-12.2,0,0,0,Winter,No Holiday,Yes,12/7/2017
167,7/12/2017,259,23,-3.2,50,2.1,1887,-12.1,0,0,0,Winter,No Holiday,Yes,12/7/2017
168,8/12/2017,233,0,-3.5,49,2.6,1893,-12.6,0,0,0,Winter,No Holiday,Yes,12/8/2017
169,8/12/2017,230,1,-3.7,50,2.5,1902,-12.6,0,0,0,Winter,No Holiday,Yes,12/8/2017
170,8/12/2017,131,2,-4.3,53,1,1918,-12.4,0,0,0,Winter,No Holiday,Yes,12/8/2017
171,8/12/2017,99,3,-4.8,52,1.6,1978,-13.1,0,0,0,Winter,No Holiday,Yes,12/8/2017
172,8/12/2017,71,4,-5.3,53,2.4,1936,-13.4,0,0,0,Winter,No Holiday,Yes,12/8/2017
173,8/12/2017,84,5,-5.8,56,2,1941,-13.1,0,0,0,Winter,No Holiday,Yes,12/8/2017
174,8/12/2017,158,6,-6,56,3.5,1853,-13.3,0,0,0,Winter,No Holiday,Yes,12/8/2017
175,8/12/2017,387,7,-6.5,57,0.8,1776,-13.6,0,0,0,Winter,No Holiday,Yes,12/8/2017
176,8/12/2017,780,8,-7,59,0.8,1559,-13.6,0.01,0,0,Winter,No Holiday,Yes,12/8/2017
177,8/12/2017,395,9,-6.7,50,0.9,1492,-15.4,0.23,0,0,Winter,No Holiday,Yes,12/8/2017
178,8/12/2017,261,10,-5.3,44,2.8,1516,-15.6,0.63,0,0,Winter,No Holiday,Yes,12/8/2017
179,8/12/2017,310,11,-3.7,39,1.4,1595,-15.6,0.93,0,0,Winter,No Holiday,Yes,12/8/2017
180,8/12/2017,355,12,-2,30,1.4,1728,-17.3,1.14,0,0,Winter,No Holiday,Yes,12/8/2017
181,8/12/2017,354,13,-1.7,28,1.8,1963,-17.8,1.22,0,0,Winter,No Holiday,Yes,12/8/2017
182,8/12/2017,350,14,-1.3,27,3.1,1906,-17.9,1.12,0,0,Winter,No Holiday,Yes,12/8/2017
183,8/12/2017,362,15,-0.8,26,3.3,1977,-17.9,0.87,0,0,Winter,No Holiday,Yes,12/8/2017
184,8/12/2017,401,16,-1.1,24,3.4,2000,-19.1,0.56,0,0,Winter,No Holiday,Yes,12/8/2017
185,8/12/2017,500,17,-2.4,30,2.7,2000,-17.6,0.18,0,0,Winter,No Holiday,Yes,12/8/2017
186,8/12/2017,752,18,-3.1,33,1.2,2000,-17.1,0,0,0,Winter,No Holiday,Yes,12/8/2017
187,8/12/2017,477,19,-3.3,35,1.1,2000,-16.6,0,0,0,Winter,No Holiday,Yes,12/8/2017
188,8/12/2017,384,20,-3.3,34,1.5,2000,-16.9,0,0,0,Winter,No Holiday,Yes,12/8/2017
189,8/12/2017,336,21,-3.3,35,0.5,2000,-16.6,0,0,0,Winter,No Holiday,Yes,12/8/2017
190,8/12/2017,347,22,-3.4,39,1.2,2000,-15.4,0,0,0,Winter,No Holiday,Yes,12/8/2017
191,8/12/2017,275,23,-3.5,43,0.9,2000,-14.3,0,0,0,Winter,No Holiday,Yes,12/8/2017
192,9/12/2017,267,0,-3.5,48,0.9,1967,-12.9,0,0,0,Winter,No Holiday,Yes,12/9/2017
193,9/12/2017,296,1,-4.1,49,0.6,2000,-13.2,0,0,0,Winter,No Holiday,Yes,12/9/2017
194,9/12/2017,237,2,-4.7,50,0.7,1983,-13.5,0,0,0,Winter,No Holiday,Yes,12/9/2017
195,9/12/2017,169,3,-4.3,47,0.6,1992,-13.9,0,0,0,Winter,No Holiday,Yes,12/9/2017
196,9/12/2017,96,4,-4.3,49,0.7,2000,-13.4,0,0,0,Winter,No Holiday,Yes,12/9/2017
197,9/12/2017,56,5,-4.7,49,0.8,1999,-13.8,0,0,0,Winter,No Holiday,Yes,12/9/2017
198,9/12/2017,76,6,-5.1,53,0.9,1975,-13.2,0,0,0,Winter,No Holiday,Yes,12/9/2017
199,9/12/2017,127,7,-5.5,56,0.8,1950,-12.9,0,0,0,Winter,No Holiday,Yes,12/9/2017
200,9/12/2017,222,8,-5.4,56,0.7,1940,-12.8,0.01,0,0,Winter,No Holiday,Yes,12/9/2017
201,9/12/2017,291,9,-4.7,48,1,1784,-14,0.23,0,0,Winter,No Holiday,Yes,12/9/2017
202,9/12/2017,273,10,-2.2,42,1.3,1646,-13.4,0.61,0,0,Winter,No Holiday,Yes,12/9/2017
203,9/12/2017,351,11,0,45,1.1,1500,-10.5,0.89,0,0,Winter,No Holiday,Yes,12/9/2017
204,9/12/2017,427,12,2.4,40,0.8,1809,-9.8,1.05,0,0,Winter,No Holiday,Yes,12/9/2017
205,9/12/2017,431,13,3.9,36,2,1702,-9.8,1.13,0,0,Winter,No Holiday,Yes,12/9/2017
206,9/12/2017,486,14,4.7,32,2.2,1948,-10.6,1.06,0,0,Winter,No Holiday,Yes,12/9/2017
207,9/12/2017,569,15,5.2,30,2,1963,-11,0.84,0,0,Winter,No Holiday,Yes,12/9/2017
208,9/12/2017,546,16,4.4,33,1.6,1963,-10.5,0.4,0,0,Winter,No Holiday,Yes,12/9/2017
209,9/12/2017,481,17,3.5,37,1.8,1963,-9.8,0.1,0,0,Winter,No Holiday,Yes,12/9/2017
210,9/12/2017,384,18,2.5,41,1,1974,-9.4,0,0,0,Winter,No Holiday,Yes,12/9/2017
211,9/12/2017,275,19,1.5,48,0.4,1878,-8.3,0,0,0,Winter,No Holiday,Yes,12/9/2017
212,9/12/2017,298,20,0.8,51,1.4,1848,-8.2,0,0,0,Winter,No Holiday,Yes,12/9/2017
213,9/12/2017,321,21,-0.1,55,0.7,1654,-8,0,0,0,Winter,No Holiday,Yes,12/9/2017
214,9/12/2017,289,22,-0.5,55,0.6,1655,-8.4,0,0,0,Winter,No Holiday,Yes,12/9/2017
215,9/12/2017,265,23,-0.1,54,1.3,1570,-8.3,0,0,0,Winter,No Holiday,Yes,12/9/2017
216,10/12/2017,326,0,-0.2,55,1,1629,-8.1,0,0,0,Winter,No Holiday,Yes,12/10/2017
